; [Site "BackgammonGalaxy"]
; [Match ID "9360017"]
; [Player 1 "lasse"]
; [Player 2 "freezo"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.10"]
; [EventTime "14.42"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       freezo : 0
  1) 32: 24/21 13/11             54: 13/8 8/4
  2) 53: 25/20 24/21             61: 25/24 24/18
  3) 62: 13/7 13/11              61: 25/24 24/18
  4) 64: 25/21 13/7              54: 25/20 24/20
  5) 43: 7/3 6/3                 61: 24/18 13/12
  6) 53: 25/20 21/18             54: 12/7 8/4
  7) 66:                         63: 18/12 7/4
  8) 33: 25/22 25/22 6/3 11/8    11: 13/12 12/11 12/11 13/12
  9) 53: 20/15 15/12             52: 25/20 6/4
 10) 65: 22/16 16/11             42: 6/2 4/2
 11) 54: 22/18 18/13             64: 25/21 11/5
 12) 32: 25/22 22/20             52: 25/23 21/16
 13)  Doubles => 2                Takes
 14) 61: 20/14 13/12             52: 25/23 16/11
 15) 62:                         31: 8/5 6/5
 16) 43: 25/22 22/18             63: 11/5 8/5
 17) 64: 18/12 12/8              44: 20/16 16/12 5/1 5/1
 18) 65: 12/6 8/3                51: 12/7 7/6
 19) 53: 8/3 6/3                 33: 6/3 6/3 23/20 6/3
 20) 42: 12/8 8/6                64: 20/16 16/10
 21) 21: 6/4 4/3                 64: 10/4 5/1
 22) 54: 8/3 6/2                 66:
 23) 31: 11/8 3/2                31: 25/24 5/2
 24) 65: 11/6 8/2                32: 20/18 18/15
 25) 55: 8/3 6/1 6/1 6/1         52: 25/20 15/13
 26) 22: 8/6 6/4 2/0 2/0         43: 13/9 9/6
 27) 43: 4/0 3/0                 53: 20/15 15/12
 28) 52: 3/0 2/0                 61: 12/6 20/19
 29) 44: 3/0 3/0 3/0 3/0         62: 19/13 13/11
 30) 61: 3/0 1/0                 32: 11/8 6/4
 31) 31: 3/2 2/0                 43: 8/4 3/0
 32) 32: 1/0 1/0
      Wins 2 point
