; [Site "BackgammonGalaxy"]
; [Match ID "9368877"]
; [Player 1 "davidrosenquist"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.10"]
; [EventTime "21.06"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 davidrosenquist : 0             lasse : 0
  1)                             53: 8/3 6/3
  2) 65: 24/18 18/13             62: 24/18 13/11
  3) 53: 8/3 6/3                 51: 24/23 23/18
  4) 53: 13/8 8/5                31: 8/5 6/5
  5) 32: 13/10 10/8              53: 13/8 13/10
  6) 31: 8/5 6/5                 44: 18/14 18/14 14/10 14/10
  7) 31: 24/21 8/7                Doubles => 2
  8)  Takes                      66: 10/4 10/4 8/2 8/2
  9) 65:                         61: 13/7 10/9
 10) 51: 25/24 13/8              62: 13/7 9/7
 11) 62: 13/7 13/11              31: 7/4 11/10
 12) 11: 5/4 6/5 5/4 11/10       51: 10/5 4/3
 13) 32: 13/10 10/8              55: 6/1 6/1 6/1 7/2
 14) 31:                         62: 7/1 5/3
 15) 41:                         63: 5/0 5/2
 16) 31:                         41: 4/0 4/3
 17) 63: 25/19 19/16             62: 3/0 2/0
 18) 51: 16/11 7/6               41: 3/0 1/0
 19) 21: 8/6 7/6                 43: 3/0 3/0
 20) 61: 11/5 8/7                51: 3/0 1/0
 21) 55: 10/5 8/3 7/2 5/0        31: 2/0 1/0
 22)  Losses 2 point              Wins 2 point

