; [Site "BackgammonGalaxy"]
; [Match ID "9369188"]
; [Player 1 "nuni"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.10"]
; [EventTime "21.21"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 nuni : 0                        lasse : 0
  1)                             61: 13/7 8/7
  2) 63: 24/21 21/15             63: 13/10 24/18
  3) 22: 25/23 6/4 6/4 23/21     44: 8/4 8/4 18/14 14/10
  4) 41: 25/24 24/20             42: 7/5 5/1
  5) 52: 25/23 25/20             65: 13/7 6/1
  6) 43: 23/20 8/4               51: 24/23 23/18
  7) 43: 13/9 9/6                32: 18/15 15/13
  8) 52: 13/8 8/6                 Doubles => 2
  9)  Takes                      33: 13/10 13/10 13/10 10/7
 10) 44: 20/16 20/16 13/9 13/9   21: 7/5 7/6
 11) 65: 13/7 9/4                64: 10/4 10/6
 12) 54: 8/3 7/3                 62: 10/4 10/8
 13) 21: 8/6 9/8                 66: 8/2 7/1 6/0 6/0
 14) 53: 16/11 8/5               65: 6/0 5/0
 15) 21: 11/9 9/8                32: 6/3 2/0
 16) 43: 16/12 8/5               65: 6/1 6/0
 17) 41: 12/8 8/7                62: 4/0 4/2
 18) 22: 7/5 4/2 2/0 3/1         21: 2/0 1/0
 19) 61: 6/0 1/0                 33: 4/1 4/1 3/0 1/0
 20) 31: 4/1 1/0                 53: 1/0 1/0
 21) 42: 4/0 5/3                 54: 1/0 1/0
                                  Wins 2 point

