; [Site "BackgammonGalaxy"]
; [Match ID "9454404"]
; [Player 1 "lasse"]
; [Player 2 "brian_m"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.14"]
; [EventTime "09.40"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       brian_m : 0
  1) 65: 24/18 18/13             22: 6/4 6/4 13/11 13/11
  2) 61: 13/7 8/7                53: 8/3 6/3
  3) 31: 8/5 6/5                 51: 11/6 11/10
  4) 32: 13/10 10/8              42: 13/9 10/8
  5) 51: 13/8 6/5                62: 13/7 9/7
  6) 31: 13/12 13/10             65:
  7)  Doubles => 2                Takes
  8) 63: 12/6 13/10              32: 25/22 24/22
  9) 52: 10/5 10/8               21: 24/22 22/21
 10) 43: 24/20 8/5               64: 21/15 8/4
 11) 43: 20/16 16/13             44: 15/11 11/7 6/2 7/3
 12) 64: 13/7 5/1                31: 3/2 4/1
 13) 22: 6/4 6/4 8/6 7/5         62: 7/1 7/5
 14) 42: 8/4 8/6                 53: 8/3 8/5
 15) 63: 7/1 7/4                 21: 3/1 6/5
 16) 66: 6/0 6/0 6/0 6/0         33: 22/19 19/16 16/13 13/10
 17) 64: 5/0 4/0                 33: 22/19 19/16 16/13 13/10
 18) 51: 5/0 1/0                 64: 10/4 10/6
 19) 21: 1/0 5/3                 22: 2/0 2/0 4/2 2/0
 20) 61: 5/0 4/3                 63: 6/0 3/0
 21) 11: 3/2 2/1 1/0 4/3         21: 1/0 6/4
 22) 64: 5/0 4/0                  Losses 2 point
      Wins 2 point
