; [Site "BackgammonGalaxy"]
; [Match ID "9461034"]
; [Player 1 "wewaiv"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.14"]
; [EventTime "15.27"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 wewaiv : 0                      lasse : 0
  1) 32: 24/21 13/11             62: 24/18 6/4
  2) 32: 25/23 24/21             53: 25/22 18/13
  3) 31: 8/5 6/5                 65: 24/18 18/13
  4) 51: 6/5 13/8                53: 8/3 6/3
  5) 54: 8/3 13/9                63: 25/22 22/16
  6) 61: 25/24                    Doubles => 2
  7)  Takes                      31: 8/5 6/5
  8) 53:                         31: 8/5 5/4
  9) 32: 25/23                   53: 13/10 16/11
 10) 61: 25/24 11/5              22: 10/8 8/6 6/4 13/11
 11) 11: 8/7 8/7 5/4 5/4         66: 13/7 13/7 11/5 13/7
 12) 65: 13/7 13/8               54: 13/9 11/6
 13) 63: 8/2 6/3                 63: 13/7 7/4
 14) 32: 7/4 4/2                 54: 9/4 7/3
 15) 22: 7/5 5/3 7/5 5/3         65:
 16) 52: 6/1 3/1                 43: 7/3 7/4
 17) 65: 23/17 23/18             51: 5/0 6/5
 18) 64: 17/11 18/14             41: 4/0 4/3
 19) 54: 11/6 14/10              54: 5/0 4/0
 20) 64: 24/18 18/14             61: 6/0 6/5
 21) 62: 14/8 8/6                53: 5/0 3/0
 22) 54: 6/1 10/6                22: 3/1 3/1 4/2 4/2
 23) 21:                         52: 5/0 5/3
 24) 65: 25/19 19/14             51: 3/0 1/0
 25) 21: 14/12 12/11             41: 3/0 1/0
 26) 54: 11/6 4/0                61: 3/0 2/1
 27) 54: 5/0 4/0                 52: 2/0 1/0
                                  Wins 2 point

