; [Site "BackgammonGalaxy"]
; [Match ID "9544722"]
; [Player 1 "lasse"]
; [Player 2 "zoforen"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.17"]
; [EventTime "19.08"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       zoforen : 0
  1)                             21: 13/11 24/23
  2) 32: 24/21 13/11             64: 24/18 18/14
  3) 52: 25/20 13/11             61: 25/24 11/5
  4) 21: 25/23 21/20             63: 25/22 24/18
  5) 65: 13/7 8/3                22: 25/23 25/23 6/4 6/4
  6) 42: 7/3 11/9                21: 23/21 6/5
  7) 63: 25/22 22/16             52: 8/3 5/3
  8) 22: 6/4 6/4 13/11 13/11     54: 25/20 20/16
  9) 55: 25/20 16/11 20/15 15/10 52: 16/11 13/11
 10) 32: 10/8 23/20              51: 11/6 6/5
 11) 53: 25/20 11/8              42: 25/23 11/7
 12)  Doubles => 2                Takes
 13) 61: 24/18 8/7               43:
 14) 55: 18/13 13/8 20/15 15/10  61: 25/24 24/18
 15) 54: 25/20 10/6              51: 23/18 13/12
 16) 52: 20/15 15/13             52: 25/20 8/6
 17) 64: 13/9 9/3                41: 13/9 13/12
 18) 42: 8/4 3/1                 22: 9/7 7/5 12/10 10/8
 19) 21: 4/3 3/1                 43: 8/5 6/2
 20) 33: 8/5 8/5 11/8 11/8       41:
 21) 42: 8/4 6/4                 41:
 22) 43: 8/4 8/5                 41:
 23) 41: 4/0 4/3                 53:
 24) 64: 6/0 4/0                 41:
 25) 53: 5/0 3/0                 52: 25/23 18/13
 26) 43: 4/0 4/1                 66: 23/17 17/11 8/2 13/7
 27) 32: 3/0 3/1                 31: 11/8 8/7
 28) 64: 6/0 5/1                 33: 23/20 20/17 17/14 14/11
 29) 31: 25/24 6/3               33: 7/4 7/4 4/1 4/1
 30) 32:                         44: 18/14 14/10 11/7 7/3
 31) 43:                         65: 10/5 23/17
 32) 62:                         54: 17/12 12/8
 33) 41:                         21: 8/6 3/2
 34) 53:                         53: 5/0 6/3
 35) 62:                         55: 6/1 6/1 5/0 5/0
 36) 64: 25/19 19/15             11: 1/0 1/0 1/0 1/0
 37) 66: 15/9 9/3 3/0 3/0        51: 4/0 2/1
 38) 65: 1/0 1/0                 41: 4/0 1/0
 39) 63: 1/0 1/0                 65: 3/0 3/0
 40) 52: 1/0
      Wins 2 point
