; [Site "BackgammonGalaxy"]
; [Match ID "9571939"]
; [Player 1 "lasse"]
; [Player 2 "ipsg0302"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.07.18"]
; [EventTime "19.58"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       ipsg0302 : 0
  1) 41: 13/9 24/23              53: 24/21 21/16
  2) 64: 25/21 24/18             61: 13/7 8/7
  3) 61: 25/24 13/7              52: 16/11 13/11
  4) 62: 23/21 13/7              53: 24/21 21/16
  5) 54: 13/9 13/8               64: 25/21 21/15
  6) 21: 7/5 6/5                 11: 6/5 6/5 13/12 13/12
  7) 33: 7/4 6/3 6/3 8/5         51: 13/8 15/14
  8) 52: 9/4 8/6                 31: 14/11 8/7
  9) 61: 8/2 8/7                 51: 11/6 6/5
 10) 11: 5/4 4/3 3/2 6/5         31: 8/5 8/7
 11) 55: 21/16 21/16 6/1 6/1     61: 12/6 12/11
 12) 32: 24/21 5/3               21: 6/4 5/4
 13) 54:                         54: 7/2 6/2
 14) 61: 25/24 7/1               54: 7/2 11/7
 15) 62: 24/22 22/16             33: 11/8 11/8 8/5 8/5
 16) 65: 16/10 16/11             54: 7/2 7/3
 17) 21: 16/14 10/9              21: 7/6 2/0
 18) 31: 9/6 11/10               41: 4/0 2/1
 19) 51: 14/9 9/8                43: 4/0 3/0
 20) 53: 10/5 8/5                54: 5/0 6/2
 21) 61: 6/0 1/0                 31: 1/0 6/3
 22) 54: 5/0 4/0                 61: 6/0 2/1
 23) 54: 5/0 4/0                 62: 5/0 2/0
 24) 51: 5/0 1/0                 61: 5/0 1/0
 25) 62: 5/0 2/0                 11: 2/1 1/0 5/4 3/2
 26) 41: 3/0 1/0                 32: 2/0 5/2
 27) 43: 3/0 3/0                 42: 4/0 2/0
                                  Wins 1 point

