; [Site "BackgammonGalaxy"]
; [Match ID "9633079"]
; [Player 1 "budobudobudou"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.21"]
; [EventTime "07.52"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 budobudobudou : 0               lasse : 0
  1) 62: 24/18 13/11             41: 8/7 24/20
  2) 54: 25/20 24/20             62: 20/14 24/22
  3) 43: 25/21 21/18             55: 25/20 14/9 9/4 13/8
  4) 32: 8/5 5/3                 52: 25/23 25/20
  5) 52: 18/13 3/1               42: 6/4 20/16
  6) 21: 13/11 11/10             41: 16/15 15/11
  7) 41: 25/24 24/20             52: 23/18 13/11
  8) 53: 13/8 8/5                42: 18/14 13/11
  9) 53: 13/8 8/5                51: 14/9 9/8
 10) 11: 6/5 6/5 5/4 5/4          Doubles => 2
 11)  Takes                      51: 8/3 4/3
 12) 32: 6/3 3/1                 61: 11/10 10/4
 13) 53: 8/3 8/5                 41: 6/2 3/2
 14) 61: 13/7 7/6                65: 8/2 6/1
 15) 31: 13/10 10/9              33: 13/10 13/10 11/8 11/8
 16) 43: 20/16 16/13             63: 8/2 4/1
 17) 53: 13/8 6/3                41: 8/4 2/1
 18) 55: 9/4 8/3 6/1 6/1         52: 8/3 8/6
 19) 51: 5/4                     22: 10/8 10/8 8/6 8/6
 20) 62: 20/14 14/12             42: 4/0 2/0
 21) 51: 12/7 7/6                11: 6/5 5/4 6/5 6/5
 22) 63:                         61: 6/0 6/5
 23) 52:                         22: 5/3 3/1 5/3 5/3
 24) 65: 25/19 19/14             21: 2/0 1/0
 25) 42: 14/10 10/8              41: 4/0 1/0
 26) 41: 8/4 1/0                 61: 4/0 1/0
 27) 63: 6/0 3/0                 31: 3/0 1/0
 28) 66: 5/0 5/0 4/0 4/0         66: 3/0 3/0 3/0 2/0
                                  Wins 2 point

