; [Site "BackgammonGalaxy"]
; [Match ID "963590"]
; [Player 1 "lasse"]
; [Player 2 "nonotigernono"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       nonotigernono : 0
  1)                             51: 13/8 24/23
  2) 64: 8/2 6/2                 55: 25/20 20/15 8/3 8/3
  3) 61: 13/7 8/7                62: 15/9 24/22
  4) 53: 8/3 6/3                 65: 25/20 20/14
  5) 52: 13/11 13/8              52: 25/20 13/11
  6) 51: 6/5 11/6                52: 25/20 11/9
  7) 54: 25/20 24/20             62: 20/14 13/11
  8) 64: 20/14 24/20             21: 25/24 13/11
  9) 42: 25/21 13/11             61: 25/24 13/7
 10) 22: 7/5 7/5 20/18 20/18     64: 25/21 21/15
 11) 44: 18/14 14/10 13/9 18/14  63:
 12) 31: 11/8 8/7                52:
 13) 21: 21/20 20/18             55:
 14) 41: 18/14 6/5               63:
 15) 61: 10/4 5/4                31: 25/24
 16) 63: 14/8 8/5                42:
 17) 54: 7/3 9/4                 41: 25/24 9/5
 18) 63: 8/2 14/11               63: 24/18 8/5
 19) 52: 11/6 6/4                42: 8/4 6/4
 20) 54: 5/0 4/0                 54: 18/13 6/2
 21) 21: 6/4 6/5                 54: 13/8 6/2
 22) 51: 5/0 4/3                 42: 9/5 5/3
 23) 51: 5/0 5/4                 64: 24/18 18/14
 24) 44: 4/0 4/0 4/0 4/0         31: 14/11 8/7
 25) 43: 3/0 3/0                 52: 7/2 3/1
 26) 61: 3/2 3/0                 51: 24/19 19/18
 27) 32: 2/0 2/0                 52: 18/13 11/9
 28) 43: 2/0 2/0
      Wins 1 point and the match
