; [Site "BackgammonGalaxy"]
; [Match ID "964279"]
; [Player 1 "lasse"]
; [Player 2 "congorob"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       congorob : 0
  1) 41: 13/9 24/23              61: 13/7 8/7
  2) 53: 8/3 6/3                 64: 8/2 6/2
  3) 52: 25/20 13/11             65: 7/1 6/1
  4) 43: 25/21 20/17             55: 25/20 13/8 13/8 20/15
  5) 41: 25/21 11/10             21: 25/23 8/7
  6)  Doubles => 2                Takes
  7) 65: 10/4 9/4                61: 24/18 24/23
  8) 63: 13/7 7/4                53: 25/20 23/20
  9) 62: 8/2 4/2                 31: 25/24 8/5
 10) 54: 6/1 8/4                 43:
 11) 21: 21/20 4/2               53: 25/20
 12) 32: 6/3 3/1                 43:
 13) 65: 21/15 15/10             51: 25/20 6/5
 14) 66:                         63: 20/14 14/11
 15) 41: 25/21 21/20             53: 25/20 11/8
 16) 51: 20/15 10/9              64: 20/16 16/10
 17) 63: 25/22                    Doubles => 4
 18)  Takes                      66: 20/14 14/8 20/14 20/14
 19) 61:                         55: 8/3 8/3 14/9 14/9
 20) 62:                         42: 9/5 7/5
 21) 41: 25/21                   44: 10/6 9/5 13/9 13/9
 22) 52:                         53: 9/4 7/4
 23) 61:                         54: 9/4 4/0
 24) 51:                         42: 6/2 5/3
 25) 43:                         65: 6/0 6/1
 26) 41:                         62: 5/0 5/3
 27) 43:                         41: 4/0 4/3
 28) 32:                         54: 3/0 3/0
 29) 21:                         61: 3/0 1/0
 30) 65: 25/20 25/19             41: 3/0 1/0
 31)  Losses 3 point                                               Wins 3 point and the match
