; [Site "BackgammonGalaxy"]
; [Match ID "9665220"]
; [Player 1 "lasse"]
; [Player 2 "silvercharm"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.22"]
; [EventTime "13.14"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       silvercharm : 0
  1) 53: 8/3 6/3                 42: 8/4 6/4
  2) 42: 8/4 6/4                 32: 13/10 10/8
  3) 54: 13/8 24/20              22: 13/11 13/11 11/9 11/9
  4) 62: 24/18 20/18             55: 8/3 8/3 8/3 6/1
  5)  Doubles => 2                Takes
  6) 66: 13/7 13/7 8/2 8/2       65: 9/3 9/4
  7) 55: 13/8 13/8 18/13 18/13   51: 6/1 3/2
  8) 11: 8/7 7/6 6/5 6/5         21: 4/2 3/2
  9) 53: 13/8 8/5                62: 13/7 13/11
 10) 54: 13/8 8/4                61: 11/5 7/6
 11) 66: 8/2                     65: 6/1
 12) 64: 7/3                     54: 6/1 6/2
 13) 43: 7/3 3/0                 43: 5/1 4/1
 14) 21: 2/0 3/2                 21: 4/2 2/1
 15) 53: 5/0 6/3                 61: 24/18 18/17
 16) 32: 6/3 2/0                 54: 17/12 12/8
 17) 62: 5/0 5/3                 51: 24/19 19/18
 18) 54: 4/0 4/0                 61: 18/12 12/11
 19) 32: 3/0 2/0                 41: 11/7 7/6
 20) 42: 4/0 2/0                 21: 8/6 1/0
 21) 63: 3/0 3/0                  Losses 2 point
      Wins 2 point
