; [Site "BackgammonGalaxy"]
; [Match ID "9665488"]
; [Player 1 "lasse"]
; [Player 2 "rupertbear1"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.07.22"]
; [EventTime "13.26"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       rupertbear1 : 0
  1)                             41: 13/9 24/23
  2) 41: 6/2 2/1                 43: 25/22 25/21
  3) 52: 8/3 3/1                 41: 25/21 21/20
  4) 54: 13/8 24/20              55: 6/1 6/1 8/3 8/3
  5) 65: 25/20 8/2               41: 6/2 9/8
  6) 42: 8/4 4/2                 41: 25/21 21/20
  7) 43: 8/4 6/3                 41: 13/9 9/8
  8) 43: 20/16 16/13             63: 13/7 7/4
  9) 53: 20/15 6/3               41: 8/4 2/1
 10) 11: 15/14 14/13 4/3 3/2     22: 13/11 13/11 8/6 8/6
 11) 41: 13/9 9/8                33: 20/17 20/17 17/14 17/14
 12) 51: 25/20 2/1               66: 11/5 11/5 14/8 14/8
 13) 62: 25/23 13/7              43: 8/4 8/5
 14) 43: 13/9 13/10              33: 5/2 5/2 5/2 6/3
 15) 43:                         55: 6/1 6/1 6/1 4/0
 16) 32:                         52: 4/0 4/2
 17) 41: 25/21 13/12             62: 3/0 2/0
 18) 32: 9/6 13/11               64: 3/0 3/0
 19) 21: 11/9 7/6                52: 2/0 2/0
 20) 31: 9/6 12/11               53: 2/0 1/0
 21) 22: 10/8 8/6 21/19 19/17    22: 1/0 1/0 1/0 1/0
 22) 61: 17/11 11/10             64: 1/0
                                  Wins 1 point

