; [Site "BackgammonGalaxy"]
; [Match ID "9700145"]
; [Player 1 "lasse"]
; [Player 2 "nakayaman"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.23"]
; [EventTime "17.59"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       nakayaman : 0
  1) 54: 24/20 13/8              64: 24/18 18/14
  2) 31: 8/5 6/5                 54: 14/9 13/9
  3) 51: 6/5 13/8                52: 24/22 13/8
  4) 55: 8/3 8/3 20/15 15/10     52: 25/23 13/8
  5)  Doubles => 2                Takes
  6) 42: 6/2 13/11               11: 25/24 24/23 6/5 6/5
  7) 52: 25/23 11/6              53: 23/18 18/15
  8) 64: 25/21 8/2               52: 9/4 6/4
  9) 31: 25/24 13/10             66:
 10) 62: 24/18 18/16             55:
 11) 54: 6/2 13/8                41: 25/24 25/21
 12) 31: 5/4 4/1                 51: 25/24
 13) 63: 25/22 16/10             41: 25/24 8/4
 14) 32: 24/22 8/5               52: 13/8 8/6
 15) 21: 10/8 23/22              51: 8/7 7/2
 16) 31: 10/7 8/7                44: 13/9 9/5 6/2 5/1
 17) 51: 8/3 3/2                 66: 8/2 8/2 8/2
 18) 33: 7/4 7/4 6/3 6/3         64: 24/18 18/14
 19) 61: 22/16 2/1               54:
 20) 44: 22/18 5/1 22/18 18/14   63: 25/19 14/11
 21) 62:                          Doubles => 4
 22)  Drops                       Wins 2 point

