; [Site "BackgammonGalaxy"]
; [Match ID "9700357"]
; [Player 1 "maxpetersen"]
; [Player 2 "lasse"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.07.23"]
; [EventTime "18.08"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 maxpetersen : 0                 lasse : 0
  1)                             51: 13/8 24/23
  2) 65: 24/18 18/13             64: 8/2 6/2
  3) 51: 13/8 6/5                42: 24/20 13/11
  4) 41: 25/21 6/5               65: 25/20 20/14
  5) 61: 25/24 8/2                Doubles => 2
  6)  Takes                      32: 25/23 14/11
  7) 21: 25/24 8/6               54: 13/8 8/4
  8) 33: 25/22 24/21 8/5 8/5     31: 25/22 22/21
  9) 51: 13/8 22/21              66: 11/5 11/5 13/7 13/7
 10) 65: 13/7 13/8               53: 21/16 16/13
 11) 41: 13/12 6/2               51: 25/24
 12) 63: 13/7 24/21              42: 25/21 24/22
 13) 42: 8/4 6/4                 62: 25/23 23/17
 14) 61: 25/24                   54: 22/17 17/13
 15) 51: 25/24                   65: 13/7 17/12
 16) 63: 25/22 22/16             63: 12/9 9/3
 17) 41: 25/21 7/6               42: 7/3 8/6
 18) 42: 7/3 6/4                 63: 8/2 8/5
 19) 62: 21/15 15/13             11: 7/6 7/6 6/5 6/5
 20) 31: 21/18 4/3               64: 6/2 6/0
 21) 55: 18/13 13/8 13/8 8/3     61: 6/0 3/2
 22) 42: 24/22 22/18             51: 25/24
 23) 32: 18/15 15/13             31: 24/23 5/2
 24)  Doubles => 4                Takes
 25) 43: 21/17 8/5               53: 23/18 18/15
 26) 63: 17/11 13/10             65:
 27) 31: 5/2 3/2                 52:
 28) 65: 21/15 11/6              65:
 29) 61: 24/18 15/14             66:
 30) 61: 18/12 14/13             55:
 31) 65: 13/7 12/7               31: 25/24 5/2
 32) 61: 10/4 4/3                62: 5/3
 33) 66: 7/1 7/1 24/18 18/12     21:
 34) 32: 12/9 9/7                63:
 35) 61: 7/1 6/5                 44:
 36) 32: 3/0 5/3                 51:
 37) 52: 6/1 6/4                 62: 25/19 19/17
 38) 55: 5/0 5/0 4/0 4/0         52: 17/12 12/10
 39) 22: 2/0 2/0 4/2 2/0         43: 10/6 3/0
 40) 31: 3/0 1/0                 41: 5/1 1/0
 41) 63: 3/0 3/0                 22: 2/0 2/0 2/0 2/0
 42) 11: 1/0 1/0 1/0
      Wins 4 point
