; [Site "BackgammonGalaxy"]
; [Match ID "972138"]
; [Player 1 "lasse"]
; [Player 2 "kraus"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       kraus : 0
  1)                             64: 24/18 18/14
  2) 41: 13/9 6/5                43: 24/20 14/11
  3) 33: 25/22 8/5 8/5 24/21     32: 25/22 13/11
  4) 61: 9/3 22/21               21: 25/23 23/22
  5) 55: 25/20 13/8 8/3 8/3      64: 25/21 21/15
  6) 51: 13/8 21/20              41: 13/9 9/8
  7) 54: 21/16 8/4               54: 6/1 13/9
  8) 51: 25/24 25/20             54: 25/21 21/16
  9) 54: 25/20 20/16             43: 25/21 16/13
 10)  Doubles => 2                Takes
 11) 52: 6/4 16/11               62: 25/23 15/9
 12) 21: 6/4 11/10               32: 11/8 11/9
 13) 41: 10/6 6/5                65: 23/17 13/8
 14) 33: 13/10 13/10 10/7 10/7   22: 17/15 15/13 6/4 6/4
 15) 55: 20/15 20/15 20/15 15/10 42: 13/9 8/6
 16) 64: 24/18 18/14             32: 13/11 11/8
 17) 65: 25/20 10/4              21: 8/6 6/5
 18) 52: 25/20 20/18             64:
 19) 11: 15/14 14/13 13/12 7/6   41: 25/24
 20) 31: 4/1 15/14               42: 25/23
 21) 52: 6/1 12/10               21: 25/23 8/7
 22) 31: 25/24 10/7              65: 7/1 6/1
 23) 54: 25/20 14/10             62: 23/17 17/15
 24) 31: 25/22 5/4               65: 23/17 9/4
 25) 61: 7/1 7/6                  Doubles => 4
 26)  Takes                      61: 15/9 17/16
 27) 32: 22/20 6/3               65: 9/3 8/3
 28) 62: 20/14 14/12             31: 16/13 13/12
 29) 61:                         64: 12/6 8/4
 30) 54: 25/20 6/2               41: 6/2 4/3
 31) 62: 20/14 4/2               61: 9/3 9/8
 32) 21: 14/12 12/11             66: 8/2 8/2 8/2 6/0
 33) 53: 11/6 20/17              63: 6/0 3/0
 34) 65: 17/11 11/6              52: 4/0 2/0
 35) 42: 4/0 2/0                 55: 4/0 4/0 3/0 3/0
 36) 53: 5/0 3/0                 63: 3/0 2/0
 37) 63: 6/0 3/0                 64: 2/0 2/0
 38) 31: 1/0 3/0                 62: 1/0 1/0
                                  Wins 4 point and the match
