; [Site "BackgammonGalaxy"]
; [Match ID "9788561"]
; [Player 1 "lasse"]
; [Player 2 "3732117391"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.07.26"]
; [EventTime "21.37"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       3732117391 : 0
  1) 54: 24/20 13/8              65: 24/18 18/13
  2) 65: 20/14 14/9              41: 13/9 6/5
  3) 43: 24/20 13/10             43: 25/21 8/5
  4) 53: 25/20 13/10             11: 25/24 24/23 6/5 6/5
  5) 62: 25/23 9/3               44: 13/9 13/9 9/5 13/9
  6) 64: 8/2 6/2                  Doubles => 2
  7)  Takes                      42: 25/21 24/22
  8) 63: 25/22 8/2               61: 22/16 9/8
  9) 21: 22/21 23/21             41: 21/20 20/16
 10) 53: 13/8 13/10              61: 13/7 8/7
 11) 54: 8/3 10/6                21: 13/11 11/10
 12) 42: 8/4 6/4                 31: 25/22 10/9
 13) 62: 25/23 8/2               53: 22/17 9/6
 14) 61: 10/4 6/5                54: 16/11 16/12
 15) 65: 10/4 6/1                65: 17/11 12/7
 16) 63: 21/15 15/12             62: 6/4 11/5
 17) 61: 25/24 12/6              52: 11/6 6/4
 18) 51: 6/1 24/23               63: 9/3 9/6
 19) 42: 5/3 6/2                 62: 7/1 5/3
 20) 64: 6/2                     42: 7/3 7/5
 21) 62: 4/2                     21: 3/1 5/4
 22) 22: 4/2 4/2 4/2 3/1         64: 8/4
 23) 51: 23/18 18/17             66: 25/19 19/13 13/7 7/1
 24) 42: 17/15 15/11             61: 6/0 1/0
 25) 42: 11/9 9/5                64: 6/0 6/2
 26) 33:                         62: 5/0 4/2
 27) 33:                         54: 5/0 5/1
 28) 21:                         43: 3/0 4/0
 29) 33: 25/22 22/19 19/16 5/2   63: 25/19 19/16
 30) 53: 16/13 13/8              41: 16/12 4/3
 31) 43: 8/5 5/1                 21: 12/10 10/9
 32) 54: 2/0 2/0                 42: 9/5 2/0
 33) 21: 2/0 1/0                 52: 5/0 2/0
 34) 51: 2/0 1/0                 62: 4/0 3/1
 35) 52: 2/0 2/0                 41: 1/0 1/0
 36) 22: 2/0 2/0 2/0 2/0         51: 1/0 1/0
                                  Wins 2 point

