; [Site "BackgammonGalaxy"]
; [Match ID "9808850"]
; [Player 1 "lasse"]
; [Player 2 "molina"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.07.27"]
; [EventTime "17.58"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       molina : 0
  1) 62: 24/18 13/11             61: 13/7 8/7
  2) 42: 25/21 13/11             32: 7/4 6/4
  3) 43: 25/22 22/18             43: 25/21 24/21
  4) 21: 18/16 16/15             44: 13/9 13/9 9/5 9/5
  5) 63: 24/18 18/15             53: 8/3 6/3
  6) 32: 13/10 10/8              44: 24/20 20/16 8/4 6/2
  7) 54: 8/3 6/2                 65: 21/15 21/16
  8) 31: 8/5 6/5                 32: 16/13 15/13
  9) 64: 13/9 9/3                62: 25/23 13/7
 10) 54:                         64: 13/7 13/9
 11) 54:                         51: 23/18 13/12
 12) 41: 25/24                   42: 4/2 12/8
 13) 21: 25/24 6/4                Doubles => 2
 14)  Drops                       Wins 1 point

